"","plant","genotype","Pistil","Lateral stamen","Lateral stamen_1","Ventral stamen","Ventral stamen_1","Dorsal","D1","D2","lateral","ventral","tube","exertion","erkogamy"
"585","41","Ax",4.895,4.534,4.43,4.376,4.29,4.114,1.934,1.877,4.482,4.333,3.811,1.084,0.413
"586","41","Ax",4.794,4.215,4.18,4.135,4.038,3.923,1.685,1.934,4.1975,4.0865,3.619,1.175,0.5965
"587","41","Ax",5.437,5.327,5.246,5.146,5.125,4.942,2.551,2.088,5.2865,5.1355,4.639,0.798,0.1505
"588","41","Ax",4.45,4.263,4.239,4.024,4.015,3.881,1.973,1.546,4.251,4.0195,3.519,0.931,0.199
"589","41","Ax",4.764,4.75,4.778,4.549,4.498,4.487,2.222,1.898,4.764,4.5235,4.12,0.644,-8.88e-16
"590","41","Ax",5.393,4.936,4.982,4.779,4.784,4.659,2.311,1.772,4.959,4.7815,4.083,1.31,0.434
"591","41","Ax",4.853,4.438,4.409,4.27,4.26,4.084,1.961,1.697,4.4235,4.265,3.658,1.195,0.4295
"592","41","Ax",5.185,4.688,4.747,4.633,4.553,4.349,2.201,1.577,4.7175,4.593,3.778,1.407,0.4675
"593","41","Ax",5.479,4.729,4.72,4.523,4.539,4.388,2.222,1.778,4.7245,4.531,4,1.479,0.7545
"594","41","Ax",5.058,4.645,4.694,4.478,4.533,4.233,2.124,1.79,4.6695,4.5055,3.914,1.144,0.3885
"595","41","Ax",4.351,4.008,4.019,3.889,3.855,3.666,1.763,1.595,4.0135,3.872,3.358,0.993,0.3375
"596","41","Ax",5.439,5.098,5.129,5.001,5.026,4.661,2.299,2.077,5.1135,5.0135,4.376,1.063,0.3255
"597","41","Ax",4.773,4.469,4.268,4.304,4.381,4.094,2.05,1.718,4.3685,4.3425,3.768,1.005,0.4045
"598","41","Ex",5.922,5.857,5.841,5.718,5.687,5.59,2.721,2.036,5.849,5.7025,4.757,1.165,0.073
"599","41","Ex",5.701,5.59,5.593,5.508,5.532,5.35,2.522,2.081,5.5915,5.52,4.603,1.098,0.1095
"600","41","Ex",5.777,5.443,5.462,5.369,5.287,5.143,2.546,1.988,5.4525,5.328,4.534,1.243,0.3245
"601","41","Ex",5.134,5.079,5.075,4.82,4.843,4.745,2.043,2.004,5.077,4.8315,4.047,1.087,0.057
"602","41","Ex",5.208,5.228,5.176,5.108,5.09,5.001,2.226,2.079,5.202,5.099,4.305,0.903,0.006
"603","41","Ex",4.976,4.884,4.903,4.683,4.694,4.737,2.017,1.871,4.8935,4.6885,3.888,1.088,0.0825
"604","41","Ex",5.348,5.226,5.232,5.176,5.081,4.981,2.419,1.909,5.229,5.1285,4.328,1.02,0.119
"605","41","Ex",5.57,5.549,5.459,5.391,5.428,5.244,2.567,1.886,5.504,5.4095,4.453,1.117,0.066
"606","41","Ex",5.515,5.447,5.524,5.266,5.291,5.194,2.558,1.819,5.4855,5.2785,4.377,1.138,0.0295
"607","41","Ex",5.487,5.298,5.207,5.077,5.078,4.996,2.311,1.978,5.2525,5.0775,4.289,1.198,0.2345
"608","41","Ex",5.216,5.418,5.375,5.267,5.269,5.163,2.535,1.988,5.3965,5.268,4.523,0.693,-0.1805
"609","41","Ex",5.538,5.438,5.443,5.317,5.351,5.179,2.42,2.15,5.4405,5.334,4.57,0.968,0.0975
"610","41","Ex",5.655,5.506,5.507,5.417,5.368,5.246,2.479,2.252,5.5065,5.3925,4.731,0.924,0.1485
"611","41","Ex",5.454,5.482,5.498,5.286,5.279,5.086,2.467,1.896,5.49,5.2825,4.363,1.091,-0.036
"612","41","Ex",5.62,5.645,5.613,5.49,5.42,5.214,2.531,2.18,5.629,5.455,4.711,0.909,-0.009
"613","41","Ex",5.489,5.427,5.393,5.32,5.303,5.283,2.379,2.038,5.41,5.3115,4.417,1.072,0.079
